ID,original_SMILES,Chemgauss4,binding_free_energy,std_binding_error
TRY-UNI-1fd04853-7,O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,-4.65786695480347,-7.592122864238622,1.6258605174826493
ALV-UNI-7ff1a6f9-34,Cc1ccc2c(-c3ccnc(N)c3)c(-c3ccc(F)cc3)nn2n1,-8.800723,-7.574736671020446,6.7171637323155675
MAT-GIT-deadff56-1,CC(=O)NCCc1c[nH]c2ccc(C#N)cc12,-9.765643,-7.574588773922912,0.5517271371882018
ALV-UNI-7ff1a6f9-32,Cc1ccc2c(-c3ccnn3C)c(-c3ccc(F)cc3)nn2n1,-9.00619,-7.556842426868685,0.1280489064278267
RAJ-NOV-842d5654-2,N#Cc1cc([C@@H]2CCNC2=O)cc(Cc2ccccc2)n1,-6.781113,-7.542677662104758,0.7836704202532877
AMD-UAU-3d234461-1,COc1ccc2nccc(C(=O)NN)c2c1,-6.1827974319458,-7.491493353748638,3.6728163996595504
ALV-UNI-7ff1a6f9-10,Cc1cnc2c(-c3ccncc3)c(-c3ccc(F)cc3)nn2c1,-7.326426,-7.4532071234364174,0.0759565596201594
ALV-UNI-7ff1a6f9-17,Cc1ccn2c(-c3ccnn3C)c(-c3ccc(F)cc3)nc2c1,-7.224382,-7.438820006666674,0.13004107165788223
DAR-DIA-fc970077-3,O=c1n(-c2ccccc2)ccn1-c1cccnc1,-5.133376121521,-7.290357044615398,0.22289573520688521
JOH-UNI-522b0723-1,CC1COCCN1c1ccc(C#N)nc1,-6.437917,-7.217818039724548,3.9467910166591187
ANT-DIA-3c79be55-1,N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,-8.30554,-7.178780928910868,0.9930699190439966
GUZ-UNI-5a173832-3,O=C1/C(=C/C=C/c2ccco2)CCC/C1=C\C=C\c1ccco1,-3.18235,-7.101730080000024,0.8241059107530868
JOH-MEM-5e386bbd-4,COc1ccc2[nH]c3c(c2c1)CCN3C(C)=O,-5.49479913711548,-7.010587171063584,7.499078244687885
ALV-UNI-7ff1a6f9-41,Cc1ccn2c(-c3cnn(C)c3)c(-c3ccc(F)cc3)nc2n1,-4.427262,-6.9576524232653085,0.4217430090699351
PAT-UNK-b2d83456-2,CC#Cc1cccc(CN2CCN(C(C)=O)CC2)c1,-4.72107887268066,-6.870714120605996,0.09988927065665491
AGN-NEW-891393a6-6,O=S(=O)(/C=C/c1cccnc1)c1cccc(-c2c(F)cccc2F)c1,-5.594306,-6.705884903809505,3.1764835819220103
CHR-SOS-7098f804-7,O=C(Nc1ccccc1)c1cc(Cl)ccc1O,-8.379775,-6.703700405454583,0.7441064432475145
ANN-UNI-26382800-2,CCNc1ccc(-c2cnco2)cn1,-4.973998,-6.690017299588277,0.32303603175326256
CHR-SOS-7098f804-21,O=C(Nc1cnccc1Cl)c1cccc(Cl)c1,-8.243002,-6.657827563917579,1.7999735698165853
MAR-UNI-9d4da90d-5,Cc1cnc(N)c(CN2CCC(O)CC2)c1,-4.109579,-6.587034133709977,6.125403540323066
ALV-UNI-7ff1a6f9-37,Cc1ccn2c(-c3ccncc3)c(-c3ccc(F)cc3)nc2n1,-6.404988,-6.5759164199999995,0.13236056843447513
CHR-SOS-7098f804-9,O=C(Nc1ccccc1)c1ccccc1,-5.549275,-6.5671978934693875,0.2717356412947095
ALV-UNI-7ff1a6f9-36,Cc1cc(-c2c(-c3ccc(F)cc3)nn3nc(C)ccc23)[nH]n1,-6.752863,-6.55935451130298,0.14956220925517755
VIR-GIT-7b3d3065-3,CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,-3.390148,-6.537067234141439,0.21326654784645543
